지역,거리,분석집계구,분석대상인구,접근가능인구,미접근인구,접근률,접근률0_집계구,접근률50미만_집계구
전국,100,93441,52913333.0,16218119.0,36695214.0,30.650344781720705,49949,66945
전국,200,93441,52913333.0,35296921.0,17616412.0,66.70704527344743,19096,32418
전국,300,93441,52913333.0,42849042.0,10064291.0,80.97966915068457,8851,18316
서울,100,15626,9337885.0,4301946.0,5035939.0,46.069811311662114,6674,8565
서울,200,15626,9337885.0,8369045.0,968840.0,89.62463127356997,1135,1629
서울,300,15626,9337885.0,9228624.0,109261.0,98.8299170529515,116,177
