행정동코드,행정동명,원본행정동명
11010530,사직동,사직동
11010540,삼청동,삼청동
11010550,부암동,부암동
11010560,평창동,평창동
11010570,무악동,무악동
11010580,교남동,교남동
11010600,가회동,가회동
11010610,종로1·2·3·4가동,종로1·2·3·4가동
11010630,종로5·6가동,종로5·6가동
11010640,이화동,이화동
11010670,창신1동,창신1동
11010680,창신2동,창신2동
11010690,창신3동,창신3동
11010700,숭인1동,숭인1동
11010710,숭인2동,숭인2동
11010720,청운효자동,청운효자동
11010730,혜화동,혜화동
11020520,소공동,소공동
11020540,회현동,회현동
11020550,명동,명동
11020570,필동,필동
11020580,장충동,장충동
11020590,광희동,광희동
11020600,을지로동,을지로동
11020650,신당5동,신당5동
11020670,황학동,황학동
11020680,중림동,중림동
11020690,신당동,신당동
11020700,다산동,다산동
11020710,약수동,약수동
11020720,청구동,청구동
11020730,동화동,동화동
11030510,후암동,후암동
11030520,용산2가동,용산2가동
11030530,남영동,남영동
11030570,원효로2동,원효로2동
11030580,효창동,효창동
11030590,용문동,용문동
11030630,이촌1동,이촌1동
11030640,이촌2동,이촌2동
11030650,이태원1동,이태원1동
11030660,이태원2동,이태원2동
11030690,서빙고동,서빙고동
11030700,보광동,보광동
11030710,청파동,청파동
11030720,원효로1동,원효로1동
11030730,한강로동,한강로동
11030740,한남동,한남동
11040520,왕십리2동,왕십리2동
11040540,마장동,마장동
11040550,사근동,사근동
11040560,행당1동,행당1동
11040570,행당2동,행당2동
11040580,응봉동,응봉동
11040590,금호1가동,금호1가동
11040620,금호4가동,금호4가동
11040650,성수1가1동,성수1가1동
11040660,성수1가2동,성수1가2동
11040670,성수2가1동,성수2가1동
11040680,성수2가3동,성수2가3동
11040690,송정동,송정동
11040700,용답동,용답동
11040710,왕십리도선동,왕십리도선동
11040720,금호2·3가동,금호2·3가동
11040730,옥수동,옥수동
11050530,화양동,화양동
11050540,군자동,군자동
11050550,중곡1동,중곡1동
11050560,중곡2동,중곡2동
11050570,중곡3동,중곡3동
11050580,중곡4동,중곡4동
11050590,능동,능동
11050600,구의1동,구의1동
11050610,구의2동,구의2동
11050620,구의3동,구의3동
11050630,광장동,광장동
11050640,자양1동,자양1동
11050650,자양2동,자양2동
11050660,자양3동,자양3동
11050670,자양4동,자양4동
11060710,회기동,회기동
11060720,휘경1동,휘경1동
11060730,휘경2동,휘경2동
11060800,청량리동,청량리동
11060810,용신동,용신동
11060820,제기동,제기동
11060830,전농1동,전농1동
11060840,전농2동,전농2동
11060860,답십리2동,답십리2동
11060870,장안1동,장안1동
11060880,장안2동,장안2동
11060890,이문1동,이문1동
11060900,이문2동,이문2동
11060910,답십리1동,답십리1동
11070520,면목2동,면목2동
11070540,면목4동,면목4동
11070550,면목5동,면목5동
11070570,면목7동,면목7동
11070590,상봉1동,상봉1동
11070600,상봉2동,상봉2동
11070610,중화1동,중화1동
11070620,중화2동,중화2동
11070640,묵1동,묵1동
11070650,묵2동,묵2동
11070680,망우3동,망우3동
11070690,신내1동,신내1동
11070700,신내2동,신내2동
11070710,면목본동,면목본동
11070720,면목3·8동,면목3·8동
11070730,망우본동,망우본동
11080580,돈암1동,돈암1동
11080590,돈암2동,돈암2동
